listing_class,cost,name,address,beds,baths,sqft,neighborhood,zipcode,property_link
3,"$3,500 /mo","867 N Hermitage Ave, Chicago, IL",867 N Hermitage Ave,"3 Beds, 2.5 Baths",2.5 ba,,Ukrainian Village,"867 N Hermitage Ave Chicago, IL 60622",https://www.apartments.com/867-n-hermitage-ave-chicago-il/gng71sx/
3,"$1,650 /mo","2747 W Augusta Blvd, Chicago, IL",2747 W Augusta Blvd,"2 Beds, 1 Bath",1 ba,,Ukrainian Village,"2747 W Augusta Blvd Chicago, IL 60622",https://www.apartments.com/2747-w-augusta-blvd-chicago-il/h772v72/
3,"$1,750 ","2 bedroom in Chicago IL 60622 Unit G, Chicago, IL",2340 W Augusta Blvd,2 Beds,1 ba,,Ukrainian Village,"2340 W Augusta Blvd Chicago, IL 60622",https://www.apartments.com/2-bedroom-in-chicago-il-60622-chicago-il-unit-g/y5z9dyr/
3,"$2,300 ","3 bedroom in CHICAGO IL 60622 Unit 3, Chicago, IL",2627 W Walton St,3 Beds,1 ba,,Ukrainian Village,"2627 W Walton St Chicago, IL 60622",https://www.apartments.com/3-bedroom-in-chicago-il-60622-chicago-il-unit-3/f2163tr/
3,"$2,600 ","Beautiful 2B 2B condo unit with in-unit W/... Unit 3W, Chicago, IL",1449 W Walton St,2 Beds,2 ba,"1,200 sq ft",Ukrainian Village,"1449 W Walton St Chicago, IL 60642",https://www.apartments.com/beautiful-2b-2b-condo-unit-with-in-unit-w-chicago-il-unit-3w/hycxd50/
3,"$2,600 ","2 br, 2 bath Condo - 1449 W Walton St, Chicago, IL",1449 W Walton St,2 Beds,2 ba,,Ukrainian Village,"1449 W Walton St Chicago, IL 60642",https://www.apartments.com/2-br-2-bath-condo-1449-w-walton-st-chicago-il/3yv8h7g/
3,"$3,000 ","2 bedroom in Chicago IL 60622 Unit 2, Chicago, IL",1036 N Paulina St,2 Beds,2 ba,,Ukrainian Village,"1036 N Paulina St Chicago, IL 60622",https://www.apartments.com/2-bedroom-in-chicago-il-60622-chicago-il-unit-2/c1vpk5e/
3,"$2,600 /mo","1449 W Walton St, Chicago, IL",1449 W Walton St,"2 Beds, 2 Baths",2 ba,,Ukrainian Village,"1449 W Walton St Chicago, IL 60642",https://www.apartments.com/1449-w-walton-st-chicago-il/n20wbhm/
3,"$1,800 ","3 bedroom in CHICAGO IL 60622 Unit Apt 2F, Chicago, IL",1058 N Rockwell St,3 Beds,1 ba,,Ukrainian Village,"1058 N Rockwell St Chicago, IL 60622",https://www.apartments.com/3-bedroom-in-chicago-il-60622-chicago-il-unit-apt-2f/8sg8dt1/
3,"$3,250 /mo","1036 N Paulina St, Chicago, IL",1036 N Paulina St,"2 Beds, 2 Baths",2 ba,,Ukrainian Village,"1036 N Paulina St Chicago, IL 60622",https://www.apartments.com/1036-n-paulina-st-chicago-il/cbxrcgd/
3,"$3,000 ","1036 N Paulina St Unit 02, Chicago, IL",1036 N Paulina St,2 Beds,2 ba,"1,400 sq ft",Ukrainian Village,"1036 N Paulina St Chicago, IL 60622",https://www.apartments.com/1036-n-paulina-st-chicago-il-unit-02/gx6p0wy/
3,"$1,795 ","Condo for Rent, Chicago, IL",3942 W Barry Ave,2 Beds,1 ba,,Logan Square,"3942 W Barry Ave Chicago, IL 60618",https://www.apartments.com/3942-w-barry-ave-chicago-il-unit-1/23krmbb/
3,"$1,800 ","Condo for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/k8ktbkc/
3,"$4,950 /mo","House for Rent, Chicago, IL",3503 W Medill Ave,"3 Beds, 2 Baths",2 ba,,Logan Square,"3503 W Medill Ave Chicago, IL 60647",https://www.apartments.com/3503-w-medill-ave-chicago-il/4tpy5hk/
